SBD,Toan,Van,Ly,Hoa,Sinh,KHTN,Su,Dia,GDCD,KHXH,Anh
52000386,6,7,,,,,3,6.25,7.75,,6.8
52000387,5.8,8,,,,,5,7.75,9,,5.6
52000388,7.6,7.5,6.75,5.75,3.5,,,,,,8.8
52000389,8.4,6.75,8.25,7.25,7.25,,,,,,9.2
52000390,7.6,8.5,7.5,8.75,7,,,,,,7.4
52000391,6.8,4.25,,,,,4.5,6,,,
52000392,7.4,7.75,5,5.25,5,,,,,,5
52000393,7.6,6.25,,,,,5.5,6.5,9,,9.4
52000394,4,4,,,,,2,6,,,
52000395,7.4,7,,,,,4.75,7,,,
52000396,7,7.25,,,,,4.5,6.75,7.75,,8.8
52000397,5.8,7,,,,,8.25,8,,,
52000398,7.6,6.5,5.5,4.75,5.25,,,,,,5.2
52000399,7.6,7.25,,,,,6.25,7.75,9.5,,9.4
52000400,7,6,5,7.5,6.25,,,,,,5.2
52000401,6.6,7,,,,,5,7.75,9.75,,9.4
52000402,7.4,6.25,5.5,6,4.75,,,,,,6
52000403,7.4,6.25,5.5,6.5,4.75,,,,,,5.4
52000404,6,5.75,4.5,3,5.25,,,,,,7.6
52000405,5.2,6,,,,,4.25,5.75,7,,4
52000406,6.8,7,,,,,4.25,6.5,,,
52000407,5.8,6.75,,,,,5,6.75,9.25,,7.2
52000408,4,5.5,,,,,2.25,5.75,,,
52000409,7.4,7.5,,,,,6.75,7.5,9.5,,8.6
52000410,5.2,6.5,,,,,4,6.5,9,,5
52000411,6.2,4.5,,,,,4.25,7.25,9.5,,3.8
52000412,7.6,7,6.25,6,5.25,,,,,,8
52000413,2.6,3.25,,,,,3.5,3.75,,,
52000414,5.6,5.83,,,,,3.75,6.75,,,
52000415,6.6,7.75,6.25,7.25,5.5,,,,,,6.2
52000416,6.8,7.5,,,,,6.5,7.25,8.25,,6.8
52000417,7.2,7.5,,,,,6.25,7.25,8.75,,7.2
52000418,8.4,8.5,6.5,7.75,8,,,,,,9
52000419,4.6,7.5,,,,,5.75,7.5,,,
52000420,6.4,8,5,6.5,5.5,,,,,,4.6
52000421,6.4,7.5,,,,,2.75,5,8.75,,4.2
52000422,6.4,7.5,,,,,4.5,7.5,,,
52000423,9,6,7.75,8,7.5,,,,,,9
52000424,8.2,6.75,4.5,4.5,5.25,,,,,,9
52000425,6.4,7.75,,,,,7,8.5,,,
52000426,7,6.25,5.5,7.5,3,,,,,,5.6
52000427,8.6,7,8,6.5,6,,,,,,8.6
52000428,5,5.91,,,,,3,6.25,7,,3.6
52000429,5.2,4.75,,,,,3.25,6,8,,5.2
52000430,7.2,7.25,,,,,8.75,9,9,,8.8
52000431,6.4,8.5,,,,,6,7,9.25,,6.4
52000432,5.6,7.5,,,,,2.75,5.25,7.5,,3.4
52000433,7.6,7.75,,,,,2.75,7.5,9,,4.4
52000434,6.2,5,,,,,2.5,5.5,,,
52000435,7.8,8,,,,,6,7.25,8.75,,8.4
52000436,7.4,8.75,6.5,8.25,5.25,,,,,,7.4
52000437,8.2,8.75,,,,,7.75,7.25,9,,9.2
52000438,7.6,7,6.5,,,,,,,,8
52000439,6.2,6.5,,,,,4,6.5,7.5,,7
52000440,7.2,7.5,,,,,4.25,7.75,9.75,,7
52000441,8,7.75,,,,,4.5,6.5,9.5,,7.8
52000442,5.8,6.5,,,,,5,5.5,8.5,,8.6
52000443,5,6.75,,,,,2.25,6.75,,,
52000444,8,8,,,,,6,8.25,9,,9.8
52000445,7.2,6.5,6,5.5,6.25,,,,,,5.4
52000446,6.8,6.75,6.5,5.75,6.25,,,,,,9.4
52000447,7.8,7,,,,,4,6.5,8,,5.2
52000448,5.8,5.75,4.75,2.75,4.5,,,,,,8
52000449,7,7.75,6,6.75,3,,,,,,5.8
52000450,7.4,7,7.75,8,5.5,,,,,,4
52000451,7,6.5,5,7,6.5,,,,,,4.4
52000452,8.6,7.5,5.75,8.25,5.5,,,,,,5.2
52000453,7.6,7.75,,,,,4.25,7.5,8.25,,6.6
52000454,7.2,8,,,,,4.25,7,9.5,,7.4
52000455,4.4,4,,,,,3.75,6.75,,,
52000456,6.4,6.75,4.75,8,5.75,,,,,,9.2
52000457,7.8,7.5,6.25,6.75,5.25,,,,,,8.4
52000458,8,7,7,8,4.75,,,,,,6.8
52000459,7.8,7.5,,,,,5.5,7.5,9.5,,8
52000460,6.6,7.5,,,,,5.25,7.75,9.25,,8.2
52000461,6,7,,,,,2.75,5.5,6.5,,4.4
52000462,6.6,6.75,4.5,5.25,3.5,,,,,,5
52000463,7,7.5,,,,,5,7,8.5,,6.8
52000464,7.2,8,,,,,7.5,8,9.25,,5.6
52000465,6.4,8,,,,,5.25,6.25,6.25,,8
52000466,6.8,6.25,,,,,6.75,7.5,,,
52000467,7.8,7.25,,,,,5.5,8,9.5,,8.2
52000468,7,6.5,,,,,5.25,8.75,,,
52000469,7.6,6,4.5,5.75,4.25,,,,,,5.6
52000470,7,6.5,,,,,3.25,7.5,8.25,,5.8
52000471,6,7,,,,,6.25,7,9.25,,9
52000472,7.2,6,,,,,5.5,6.75,,,
52000473,5.6,6.5,,,,,4.25,7.5,9.25,,9
52000474,8,6.5,6.5,7.5,5.25,,,,,,8.8
52000475,5.2,6.75,,,,,4.25,4.5,7.5,,9.2
